cora(45) | Train Loss 0.5725 | Train Acc 0.9929 | Val Loss 1.1615 | Val Acc 0.7580 | Test Loss 1.1352 | Test Acc 0.7850
cora(45) | Train Loss 0.3896 | Train Acc 0.9643 | Val Loss 0.8428 | Val Acc 0.8000 | Test Loss 0.8090 | Test Acc 0.8000
cora(45) | Train Loss 0.3990 | Train Acc 0.9643 | Val Loss 0.8478 | Val Acc 0.8000 | Test Loss 0.8166 | Test Acc 0.7990
cora(45) | Train Loss 0.4902 | Train Acc 0.9929 | Val Loss 1.1056 | Val Acc 0.7580 | Test Loss 1.0786 | Test Acc 0.7850
cora(45) | Train Loss 0.8693 | Train Acc 0.9786 | Val Loss 1.2899 | Val Acc 0.7740 | Test Loss 1.2687 | Test Acc 0.7840
cora(45) | Train Loss 0.3433 | Train Acc 0.9643 | Val Loss 0.7713 | Val Acc 0.7980 | Test Loss 0.7266 | Test Acc 0.7920
citeseer(45) | Train Loss 0.4845 | Train Acc 0.8833 | Val Loss 1.0353 | Val Acc 0.7160 | Test Loss 1.0262 | Test Acc 0.7080
citeseer(45) | Train Loss 0.4156 | Train Acc 0.8833 | Val Loss 1.0501 | Val Acc 0.6920 | Test Loss 1.0365 | Test Acc 0.6930
citeseer(45) | Train Loss 0.3443 | Train Acc 0.9083 | Val Loss 1.0341 | Val Acc 0.6960 | Test Loss 1.0197 | Test Acc 0.6910
citeseer(45) | Train Loss 0.3737 | Train Acc 0.9083 | Val Loss 1.0376 | Val Acc 0.6980 | Test Loss 1.0263 | Test Acc 0.6890
citeseer(45) | Train Loss 0.3403 | Train Acc 0.9083 | Val Loss 1.0346 | Val Acc 0.6920 | Test Loss 1.0212 | Test Acc 0.6900
citeseer(45) | Train Loss 0.7764 | Train Acc 0.9833 | Val Loss 1.3697 | Val Acc 0.7020 | Test Loss 1.3717 | Test Acc 0.6660
citeseer(45) | Train Loss 0.8423 | Train Acc 0.9833 | Val Loss 1.3504 | Val Acc 0.7100 | Test Loss 1.3539 | Test Acc 0.6860
citeseer(45) | Train Loss 0.4998 | Train Acc 0.8750 | Val Loss 1.0464 | Val Acc 0.7080 | Test Loss 1.0298 | Test Acc 0.7070
citeseer(45) | Train Loss 0.4999 | Train Acc 0.8833 | Val Loss 1.0505 | Val Acc 0.7100 | Test Loss 1.0352 | Test Acc 0.7060
cora(45) | Train Loss 0.5042 | Train Acc 0.9214 | Val Loss 0.9372 | Val Acc 0.7960 | Test Loss 0.9073 | Test Acc 0.7880
cora(45) | Train Loss 0.3678 | Train Acc 0.9643 | Val Loss 0.8853 | Val Acc 0.7980 | Test Loss 0.8388 | Test Acc 0.7980
cora(45) | Train Loss 0.3970 | Train Acc 0.9643 | Val Loss 0.8442 | Val Acc 0.8020 | Test Loss 0.8155 | Test Acc 0.7980
cora(45) | Train Loss 0.3764 | Train Acc 0.9643 | Val Loss 0.8386 | Val Acc 0.8020 | Test Loss 0.8048 | Test Acc 0.8030
pubmed(45) | Train Loss 0.1544 | Train Acc 0.9667 | Val Loss 0.5682 | Val Acc 0.8080 | Test Loss 0.6049 | Test Acc 0.7960
pubmed(45) | Train Loss 0.1151 | Train Acc 0.9833 | Val Loss 0.5935 | Val Acc 0.8060 | Test Loss 0.6406 | Test Acc 0.7950
pubmed(45) | Train Loss 0.2185 | Train Acc 0.9667 | Val Loss 0.5504 | Val Acc 0.8160 | Test Loss 0.5808 | Test Acc 0.7900
pubmed(45) | Train Loss 0.1807 | Train Acc 0.9667 | Val Loss 0.5312 | Val Acc 0.8160 | Test Loss 0.5665 | Test Acc 0.7990
pubmed(45) | Train Loss 0.0937 | Train Acc 0.9833 | Val Loss 0.5911 | Val Acc 0.8080 | Test Loss 0.6416 | Test Acc 0.7980
